name,team,fifa_OVA,fifa_POT
V. Kompany,Manchester City,85,85

A. Laporte,Athletic Club de Bilbao,84,88

André Gomes,FC Barcelona,84,90

C. Bacca,Milan,84,84

J. Draxler,VfL Wolfsburg,84,87

H. Kane,Tottenham Hotspur,84,90

R. Varane,Real Madrid CF,84,91

G. Xhaka,Arsenal,84,87

Isco,Real Madrid CF,84,88

G. Krychowiak,Paris Saint-Germain,84,86

Koke,Atlético Madrid,84,88

K. Manolas,Roma,84,87

R. Lukaku,Everton,84,90

M. Götze,Borussia Dortmund,84,87

N. Matić,Chelsea,84,84

Alex Sandro,Juventus,84,87

Douglas Costa,FC Bayern Munich,84,85

C. Eriksen,Tottenham Hotspur,84,88

C. Smalling,Manchester United,84,85

Thiago,FC Bayern Munich,84,87

A. Ramsey,Arsenal,84,87

O. Toprak,Bayer 04 Leverkusen,84,85

Azpilicueta,Chelsea,84,84

David Luiz,Chelsea,84,84

B. Höwedes,FC Schalke 04,84,84

R. Fährmann,FC Schalke 04,84,85

E. Banega,Inter,84,84

R. Nainggolan,Roma,84,84

Juan Mata,Manchester United,84,84

Rui Patrício,Sporting CP,84,84

Y. Sommer,Borussia Mönchengladbach,84,85

Javi Martinez,FC Bayern Munich,84,85

Jonas,SL Benfica,84,84

Sokratis,Borussia Dortmund,84,84

Naldo,FC Schalke 04,84,84

D. Sturridge,Liverpool,84,84

E. Garay,Valencia CF,84,84

S. Mandanda,Crystal Palace,84,84

H. Ben Arfa,Paris Saint-Germain,84,84

J. Hart,Torino,84,84

A. Turan,FC Barcelona,84,84

Aduriz,Athletic Club de Bilbao,84,84

Xabi Alonso,FC Bayern Munich,84,84

José Reina,Napoli,84,84

Y. Touré,Manchester City,84,84

J. Terry,Chelsea,84,84

I. Slimani,Leicester City,83,83

J. Giménez,Atlético Madrid,83,88

G. Rulli,Real Sociedad,83,90

João Mário,Inter,83,88

William Carvalho,Sporting CP,83,87

Carvajal,Real Madrid CF,83,86

K. Bellarabi,Bayer 04 Leverkusen,83,84

Y. Konoplyanka,FC Schalke 04,83,83

T. Horn,1. FC Köln,83,89

Nolito,Manchester City,83,83

A. Lopes,Olympique Lyonnais,83,87

L. Insigne,Napoli,83,85

M. Perin,Genoa,83,88

S. Aurier,Paris Saint-Germain,83,88

J. Matip,Liverpool,83,85

G. Medel,Inter,83,83

D. Subašić,AS Monaco,83,83

M. ter Stegen,FC Barcelona,83,88

S. Mustafi,Arsenal,83,88

Ander Herrera,Manchester United,83,84

K. Glik,AS Monaco,83,83

Pedro,Chelsea,83,83

S. Kagawa,Borussia Dortmund,83,83

Coutinho,Liverpool,83,89

K. Trapp,Paris Saint-Germain,83,86

Oscar,Chelsea,83,87

M. Musacchio,Villarreal CF,83,87

Luiz Gustavo,VfL Wolfsburg,83,83

Adrien Silva,Sporting CP,83,84

S. Giovinco,Toronto FC,83,83

Bruno,Villarreal CF,83,83

F. Muslera,Galatasaray SK,83,83

M. Mandžukić,Juventus,83,83

I. Perišić,Inter,83,83

S. Khedira,Juventus,83,83

O. Giroud,Arsenal,83,83

J. Hernández,Bayer 04 Leverkusen,83,83

M. Benatia,Juventus,83,83

L. Bender,Bayer 04 Leverkusen,83,84

K. Gameiro,Atlético Madrid,83,83

D. Mertens,Napoli,83,83

J. Vertonghen,Tottenham Hotspur,83,83

A. Begović,Chelsea,83,83

José Fonte,Southampton,83,83

Diego Alves,Valencia CF,83,83

G. Cahill,Chelsea,83,83

A. Williams,Everton,83,83

L. Baines,Everton,83,83

A. Consigli,Sassuolo,83,83

João Moutinho,AS Monaco,83,83

Borja Valero,Fiorentina,83,83

Juanfran,Atlético Madrid,83,83

C. Tévez,Boca Juniors,83,83

G. Rodríguez,Fiorentina,83,83

V. Enyeama,LOSC Lille,83,83

W. Sneijder,Galatasaray SK,83,83

Nani,Valencia CF,83,83

S. Lichtsteiner,Juventus,83,83

W. Rooney,Manchester United,83,83

P. Mertesacker,Arsenal,83,83

D. De Rossi,Roma,83,83

Quaresma,Beşiktaş JK,83,83

E. Bailly,Manchester United,82,90

M. Sportiello,Atalanta,82,85

A. Martial,Manchester United,82,90

D. Berardi,Sassuolo,82,86

M. Salah,Roma,82,87

J. Vardy,Leicester City,82,82

S. Mané,Liverpool,82,87

Y. Carrasco,Atlético Madrid,82,88

Marquinhos,Paris Saint-Germain,82,88

F. Vázquez,Sevilla FC,82,82

S. Umtiti,FC Barcelona,82,87

S. Savić,Atlético Madrid,82,86

L. Karius,Liverpool,82,87

A. Florenzi,Roma,82,85

J. Butland,Stoke City,82,89

R. Sterling,Manchester City,82,88

Roberto Firmino,Liverpool,82,87

M. Icardi,Inter,82,87

Morata,Real Madrid CF,82,86

K. Koulibaly,Napoli,82,85

Lucas,Paris Saint-Germain,82,85

Danilo Pereira,FC Porto,82,86

Casemiro,Real Madrid CF,82,87

Vitolo,Sevilla FC,82,82

S. de Vrij,Lazio,82,88

D. Lovren,Liverpool,82,84

R. Rodríguez,VfL Wolfsburg,82,85

X. Shaqiri,Stoke City,82,85

J. Cuadrado,Juventus,82,82

K. Strootman,Roma,82,84

Iborra,Sevilla FC,82,82

Parejo,Valencia CF,82,83

J. Wilshere,Bournemouth,82,85

G. Bonaventura,Milan,82,82

S. N'Zonzi,Sevilla FC,82,83

José Callejón,Napoli,82,82

G. Sigurðsson,Swansea City,82,82

M. Arnautović,Stoke City,82,82

O. Karnezis,Udinese,82,82

M. Sakho,Liverpool,82,83

A. Rami,Sevilla FC,82,82

V. Ćorluka,Lokomotiv Moscow,82,82

A. Lallana,Liverpool,82,82

S. Coleman,Everton,82,82

Sergio Asenjo,Villarreal CF,82,84

Beñat,Athletic Club de Bilbao,82,82

S. Bender,Borussia Dortmund,82,83

A. Witsel,Zenit St. Petersburg,82,83

M. Schneiderlin,Manchester United,82,84

L. Piszczek,Borussia Dortmund,82,82

Jardel,SL Benfica,82,82

S. Sirigu,Sevilla FC,82,82

E. Viviano,Sampdoria,82,82

G. Castro,Borussia Dortmund,82,82

S. Nasri,Sevilla FC,82,82

L. Diarra,Olympique de Marseille,82,82

B. Sagna,Manchester City,82,82

M. Dembélé,Tottenham Hotspur,82,82

M. Krohn-Dehli,Sevilla FC,82,82

L. Perrin,AS Saint-Étienne,82,82

L. Biglia,Lazio,82,82

B. Costil,Stade Rennais FC,82,82

Raúl Albiol,Napoli,82,82

A. Gignac,Tigres U.A.N.L.,82,82

M. Gómez,VfL Wolfsburg,82,82

Gabi,Atlético Madrid,82,82

Raffael,Borussia Mönchengladbach,82,82

P. Zabaleta,Manchester City,82,82

F. Marchetti,Lazio,82,82

Kaká,Orlando City Soccer Club,82,82

B. Schweinsteiger,Manchester United,82,82

David Villa,New York City Football Club,82,82

J. Toulalan,Girondins de Bordeaux,82,82

Victor Valdés,Middlesbrough,82,82

P. Jagielka,Everton,82,82

P. Evra,Juventus,82,82

T. Motta,Paris Saint-Germain,82,82

Júlio César,SL Benfica,82,82

Danny,Zenit St. Petersburg,82,82

A. Pirlo,New York City Football Club,82,82

Casillas,FC Porto,82,82

Marco Asensio,Real Madrid CF,81,89

Bernardo Silva,AS Monaco,81,88

N. Fekir,Olympique Lyonnais,81,87

N. Kanté,Chelsea,81,85

N. Maksimović,Napoli,81,86

K. Coman,FC Bayern Munich,81,88

N. Süle,TSG 1899 Hoffenheim,81,87

Bruno Peres,Roma,81,83

Q. Promes,Spartak Moscow,81,85

H. Ziyech,Ajax,81,85

Lucas Vázquez,Real Madrid CF,81,84

O. Shatov,Zenit St. Petersburg,81,82

L. Shaw,Manchester United,81,89

Jorginho,Napoli,81,84

M. Batshuayi,Chelsea,81,86

Iñigo Martínez,Real Sociedad,81,85

Deulofeu,Everton,81,88

L. Kurzawa,Paris Saint-Germain,81,88

K. Volland,Bayer 04 Leverkusen,81,84

Paco Alcácer,FC Barcelona,81,87

J. Cillessen,FC Barcelona,81,83

Allan,Napoli,81,83

F. Acerbi,Sassuolo,81,82

André André,FC Porto,81,82

Lucas Pérez,Arsenal,81,81

R. Barkley,Everton,81,89

C. Bakambu,Villarreal CF,81,85

M. Gabbiadini,Napoli,81,85

Jonathan Viera,UD Las Palmas,81,81

Bartra,Borussia Dortmund,81,84

Pizzi,SL Benfica,81,81

O. Özyakup,Beşiktaş JK,81,87

K. Kampl,Bayer 04 Leverkusen,81,83

Víctor Ruíz,Villarreal CF,81,82

A. Schürrle,Borussia Dortmund,81,82

M. Gonalons,Olympique Lyonnais,81,82

A. Areola,Paris Saint-Germain,81,89

R. Pereyra,Watford,81,84

Iago Aspas,RC Celta de Vigo,81,81

F. Orellana,RC Celta de Vigo,81,81

C. Immobile,Lazio,81,84

D. Blind,Manchester United,81,83

S. El Shaarawy,Roma,81,86

N. Clyne,Liverpool,81,85

De Marcos,Athletic Club de Bilbao,81,82

W. Bony,Stoke City,81,82

Iturraspe,Athletic Club de Bilbao,81,82

F. Coquelin,Arsenal,81,84

Daniel Carriço,Sevilla FC,81,82

R. Bürki,Borussia Dortmund,81,84

Taison,Shakhtar Donetsk,81,81

K. Walker,Tottenham Hotspur,81,84

J. McCarthy,Everton,81,84

Camacho,Málaga CF,81,84

Paulinho,Free,81,81

A. Dzagoev,CSKA Moscow,81,83

Ganso,Sevilla FC,81,82

I. Smolnikov,Zenit St. Petersburg,81,81

L. Stindl,Borussia Mönchengladbach,81,81

R. Zieler,Leicester City,81,82

Mikel San José,Athletic Club de Bilbao,81,83

Giuliano,Zenit St. Petersburg,81,84

Y. Brahimi,FC Porto,81,82

C. Benteke,Crystal Palace,81,83

J. Henderson,Liverpool,81,83

M. Parolo,Lazio,81,81

K. Mitroglou,SL Benfica,81,81

L. Fejsa,SL Benfica,81,81

A. Modeste,1. FC Köln,81,81

S. Jovetić,Inter,81,82

E. Džeko,Roma,81,81

S. Kjær,Fenerbahçe SK,81,83

L. Rémy,Crystal Palace,81,81

M. Layún,FC Porto,81,81

B. Trémoulinas,Sevilla FC,81,81

Nacho Monreal,Arsenal,81,81

Bojan,Stoke City,81,84

A. Fernández,Atlético Madrid,81,81

A. Candreva,Inter,81,81

D. Astori,Fiorentina,81,81

K. Mirallas,Everton,81,81

A. Guardado,PSV,81,81

Raúl García,Athletic Club de Bilbao,81,81

G. dos Santos,LA Galaxy,81,82

E. Lamela,Tottenham Hotspur,81,85

R. Shawcross,Stoke City,81,81

C. Vela,Real Sociedad,81,81

Renato Augusto,Free,81,81

Y. Cabaye,Crystal Palace,81,81

Falcao,AS Monaco,81,81

M. Škrtel,Fenerbahçe SK,81,81

T. Walcott,Arsenal,81,81

K. Schmeichel,Leicester City,81,82

S. Kalou,Hertha BSC Berlin,81,81

T. Vermaelen,Roma,81,81

R. Eremenko,CSKA Moscow,81,81

Diego López,RCD Espanyol,81,81

A. Mirante,Bologna,81,81

D. Srna,Shakhtar Donetsk,81,81

Fernandinho,Manchester City,81,81

R. Adler,Hamburger SV,81,81

C. Carrasso,Girondins de Bordeaux,81,81

Rubén Castro,Real Betis Balompié,81,81

J. Mathieu,FC Barcelona,81,81

Moyá,Atlético Madrid,81,81

Fernando Torres,Atlético Madrid,81,81

D. Drogba,Montreal Impact,81,81

M. Carrick,Manchester United,81,81

T. Howard,Colorado Rapids,81,81

S. Gerrard,LA Galaxy,81,81

S. Eto'o,Antalyaspor,81,81

R. van Persie,Fenerbahçe SK,81,81

Tiago,Atlético Madrid,81,81

J. Weigl,Borussia Dortmund,80,86

Rafa,SL Benfica,80,85

Williams,Athletic Club de Bilbao,80,86

J. Tah,Bayer 04 Leverkusen,80,88

Alisson,Roma,80,86

J. Kimmich,FC Bayern Munich,80,87

M. Meyer,FC Schalke 04,80,87

Gayà,Valencia CF,80,85

S. Boufal,Southampton,80,86

D. Alli,Tottenham Hotspur,80,90

Samu Castillejo,Villarreal CF,80,87

L. Goretzka,FC Schalke 04,80,86

Fred,Shakhtar Donetsk,80,86

F. Kostić,Hamburger SV,80,85

Saúl,Atlético Madrid,80,88

J. Hector,1. FC Köln,80,82

E. Can,Liverpool,80,86

M. Kovačić,Real Madrid CF,80,86

Sergio Rico,Sevilla FC,80,85

Manu Trigueros,Villarreal CF,80,84

M. Nastasić,FC Schalke 04,80,85

Denis Suárez,FC Barcelona,80,87

K. Zouma,Chelsea,80,89

Roque Mesa,UD Las Palmas,80,81

D. Klaassen,Ajax,80,84

S. Zaza,West Ham United,80,83

M. Depay,Manchester United,80,87

Jesé,Paris Saint-Germain,80,87

P. Ntep,Stade Rennais FC,80,85

Rafinha,FC Barcelona,80,85

J. Murillo,Inter,80,84

R. Saponara,Empoli,80,84

J. Iličić,Fiorentina,80,80

S. Rode,Borussia Dortmund,80,82

P. Hernández,RC Celta de Vigo,80,80

W. Ben Yedder,Sevilla FC,80,83

Danilo,Real Madrid CF,80,83

J. Guilavogui,VfL Wolfsburg,80,82

P. Herrmann,Borussia Mönchengladbach,80,83

A. Abdennour,Valencia CF,80,82

Y. Rakitskyi,Shakhtar Donetsk,80,83

J. Bruma,VfL Wolfsburg,80,84

Borja Bastón,Swansea City,80,85

Adrián,West Ham United,80,80

Neto,Juventus,80,80

Hugo Mallo,RC Celta de Vigo,80,85

Keko,Málaga CF,80,86

D. Didavi,VfL Wolfsburg,80,82

O. Baumann,TSG 1899 Hoffenheim,80,82

Mário Fernandes,CSKA Moscow,80,83

J. Corona,FC Porto,80,87

Mario Gaspar,Villarreal CF,80,84

J. Zoet,PSV,80,84

E. Mangala,Valencia CF,80,83

M. Hitz,FC Augsburg,80,80

T. Kolodziejczak,Sevilla FC,80,86

S. Rondón,West Bromwich Albion,80,81

N. Nkoulou,Olympique Lyonnais,80,82

M. Schmelzer,Borussia Dortmund,80,80

Marlos,Shakhtar Donetsk,80,80

F. Smolov,FC Krasnodar,80,82

C. Noboa,FC Rostov,80,80

K. Asamoah,Juventus,80,81

K. Honda,Milan,80,80

W. Szczęsny,Roma,80,81

D. Welbeck,Arsenal,80,84

D. Drinkwater,Leicester City,80,82

N. Kalinić,Fiorentina,80,80

S. Feghouli,West Ham United,80,81

M. Darmian,Manchester United,80,82

I. Traoré,Borussia Mönchengladbach,80,80

D. Perotti,Roma,80,80

C. Yacob,West Bromwich Albion,80,80

A. Ogbonna,West Ham United,80,81

Roberto,RCD Espanyol,80,80

M. Kruse,SV Werder Bremen,80,80

M. Sissoko,Tottenham Hotspur,80,80

M. Pereira,FC Porto,80,80

Sidnei,RC Deportivo de La Coruña,80,82

G. Wijnaldum,Liverpool,80,83

Rhodolfo,Beşiktaş JK,80,80

Hernanes,Juventus,80,80

Alexandre Pato,Villarreal CF,80,81

Antunes,Free,80,80

B. Ivanović,Chelsea,80,80

Eder,Inter,80,80

Adán,Real Betis Balompié,80,80

Kiko Casilla,Real Madrid CF,80,80

Vieirinha,VfL Wolfsburg,80,80

S. Tasci,Spartak Moscow,80,80

B. Ruíz,Sporting CP,80,80

M. Díaz,RC Celta de Vigo,80,80

M. Berg,Panathinaikos FC,80,80

A. Ayew,West Ham United,80,80

W. Reid,West Ham United,80,80

Lucas Leiva,Liverpool,80,80

H. Moreno,PSV,80,80

C. Ansaldi,Inter,80,80

Castán,Torino,80,80

D. Wass,RC Celta de Vigo,80,81

Coke,FC Schalke 04,80,80

Gervinho,Free,80,80

J. dos Santos,Villarreal CF,80,81

D. Rose,Tottenham Hotspur,80,82

A. Valencia,Manchester United,80,80

D. Basta,Lazio,80,80

G. Cabral,RC Celta de Vigo,80,80

L. Fabiański,Swansea City,80,80

B. Foster,West Bromwich Albion,80,80

Dante,OGC Nice,80,80

A. Granqvist,FC Krasnodar,80,80

H. Herrera,FC Porto,80,82

G. Clichy,Manchester City,80,80

L. Podolski,Galatasaray SK,80,80

K. Huntelaar,FC Schalke 04,80,80

I. Akinfeev,CSKA Moscow,80,80

Jesús Navas,Manchester City,80,80

Negredo,Middlesbrough,80,80

J. Sosa,Milan,80,80

A. Gómez,Atalanta,80,80

A. Pyatov,Shakhtar Donetsk,80,80

M. Vorm,Tottenham Hotspur,80,80

D. Baier,FC Augsburg,80,80

A. Hutchinson,Beşiktaş JK,80,80

M. Topal,Fenerbahçe SK,80,80

C. Kameni,Málaga CF,80,80

J. Defoe,Sunderland,80,80

S. Sorrentino,Chievo Verona,80,80

G. Barry,Everton,80,80

F. Totti,Roma,80,80

R. Keane,LA Galaxy,80,80

Gelson Martins,Sporting CP,79,87

V. Koziello,OGC Nice,79,87

L. Sané,Manchester City,79,88

M. Dahoud,Borussia Mönchengladbach,79,88

Rúben Semedo,Sporting CP,79,85

J. Seri,OGC Nice,79,84

M. Brozović,Inter,79,83

A. Halilović,Hamburger SV,79,89

K. Baldé Diao,Lazio,79,87

L. López,SL Benfica,79,81

A. Correa,Atlético Madrid,79,88

S. Kritsyuk,FC Krasnodar,79,82

J. Brandt,Bayer 04 Leverkusen,79,88

A. Hahn,Borussia Mönchengladbach,79,81

D. Rugani,Juventus,79,87

M. Sanson,Montpellier Hérault SC,79,85

E. Hysaj,Napoli,79,83

João Cancelo,Valencia CF,79,86

Ederson,SL Benfica,79,86

Ricardo Pereira,OGC Nice,79,85

H. Kiyotake,Sevilla FC,79,81

A. Rabiot,Paris Saint-Germain,79,86

K. Wimmer,Tottenham Hotspur,79,84

Fabinho,AS Monaco,79,87

Óliver Torres,FC Porto,79,86

H. Çalhanoğlu,Bayer 04 Leverkusen,79,83

M. Ginter,Borussia Dortmund,79,84

L. Vietto,Sevilla FC,79,86

M. Arnold,VfL Wolfsburg,79,84

T. Stepanenko,Shakhtar Donetsk,79,80

D. Cheryshev,Villarreal CF,79,82

Leo Baptistao,RCD Espanyol,79,84

E. Višća,Medipol Başakşehir FK,79,80

Bernard,Shakhtar Donetsk,79,84

C. Sánchez,Monterrey,79,79

D. Baselli,Torino,79,85

A. Milik,Napoli,79,86

Bernat,FC Bayern Munich,79,83

R. Jiménez,SL Benfica,79,82

J. Brooks,Hertha BSC Berlin,79,85

Héctor Bellerín,Arsenal,79,87

Joãozinho,FC Krasnodar,79,79

T. Hazard,Borussia Mönchengladbach,79,84

V. van Dijk,Southampton,79,84

A. Carrillo,SL Benfica,79,82

V. Germain,AS Monaco,79,81

J. Vestergaard,Borussia Mönchengladbach,79,84

Sergi Darder,Olympique Lyonnais,79,85

J. Geis,FC Schalke 04,79,84

Felipe Anderson,Lazio,79,84

F. Fernández,Swansea City,79,79

N. Sansone,Villarreal CF,79,82

F. Ghoulam,Napoli,79,82

Gabriel,Arsenal,79,83

V. Darida,Hertha BSC Berlin,79,81

L. Tonelli,Napoli,79,81

D. Sidibé,AS Monaco,79,84

B. Lecomte,FC Lorient,79,84

L. Digne,FC Barcelona,79,84

Bruno,Real Betis Balompié,79,83

H. Son,Tottenham Hotspur,79,83

Sergi Roberto,FC Barcelona,79,85

D. Tadić,Southampton,79,79

C. Aránguiz,Bayer 04 Leverkusen,79,80

M. Ryan,Valencia CF,79,84

A. Oxlade-Chamberlain,Arsenal,79,86

W. Zaha,Crystal Palace,79,82

G. Imbula,Stoke City,79,84

S. Coates,Sporting CP,79,82

N. Lodeiro,Seattle Sounders FC,79,80

D. Caligiuri,VfL Wolfsburg,79,79

P. Jones,Manchester United,79,82

W. Khazri,Sunderland,79,82

Gil,Free,79,79

Y. Belhanda,OGC Nice,79,82

R. Cabella,Olympique de Marseille,79,81

R. Soriano,Villarreal CF,79,82

M. Braithwaite,Toulouse FC,79,82

Jaume Costa,Villarreal CF,79,79

H. Badstuber,FC Bayern Munich,79,79

Y. Mallı,1. FSV Mainz 05,79,82

L. Sané,SV Werder Bremen,79,79

E. Salvio,SL Benfica,79,80

O. Alonso,Seattle Sounders FC,79,79

L. Hrádecký,Eintracht Frankfurt,79,81

Illarramendi,Real Sociedad,79,80

T. Jantschke,Borussia Mönchengladbach,79,81

Etxeita,Athletic Club de Bilbao,79,79

Canales,Real Sociedad,79,83

Balenziaga,Athletic Club de Bilbao,79,79

J. Baumgartlinger,Bayer 04 Leverkusen,79,80

Jonathas,Rubin Kazan,79,80

B. Dost,Sporting CP,79,80

A. Dragović,Bayer 04 Leverkusen,79,85

M. Lanzini,West Ham United,79,85

A. N'Diaye,Villarreal CF,79,81

V. Babacan,Medipol Başakşehir FK,79,80

S. Doumbia,FC Basel,79,79

R. Boudebouz,Montpellier Hérault SC,79,81

P. Mamaev,FC Krasnodar,79,79

A. Dzyuba,Zenit St. Petersburg,79,79

Y. M'Vila,Rubin Kazan,79,82

O. Kıvrak,Trabzonspor,79,80

J. Montero,Swansea City,79,79

M. Balotelli,OGC Nice,79,81

K. Gibbs,Arsenal,79,80

I. Popov,Spartak Moscow,79,79

A. Kolarov,Manchester City,79,79

Mariano,Sevilla FC,79,79

Fernando,Manchester City,79,79

N. Amrabat,Watford,79,79

M. Gradel,Bournemouth,79,79

H. Nordtveit,West Ham United,79,80

M. Yanga-M'Biwa,Olympique Lyonnais,79,81

Luiz Adriano,Milan,79,79

Mosquera,RC Deportivo de La Coruña,79,79

J. Lens,Fenerbahçe SK,79,79

Miguel Veloso,Genoa,79,79

Weligton,Málaga CF,79,79

D. Mbokani,Hull City,79,79

M. Valbuena,Olympique Lyonnais,79,79

F. Johnson,Borussia Mönchengladbach,79,79

P. Wernbloom,CSKA Moscow,79,79

D. Ospina,Arsenal,79,80

I. Piatti,Montreal Impact,79,79

M. Fernández,Milan,79,79

K. Boateng,UD Las Palmas,79,79

Marcano,FC Porto,79,79

Z. Junuzović,SV Werder Bremen,79,79

S. Romero,Manchester United,79,79

D. Criscito,Zenit St. Petersburg,79,79

M. Sow,Fenerbahçe SK,79,79

Fábio Coentrão,Real Madrid CF,79,79

Mario Suárez,Valencia CF,79,79

S. Defour,Burnley,79,79

N. Şahin,Borussia Dortmund,79,79

T. Krul,Ajax,79,79

R. Bertrand,Southampton,79,80

J. Evans,West Bromwich Albion,79,79

K. Vermeer,Feyenoord,79,79

Danilo,Udinese,79,79

S. Radu,Lazio,79,79

J. Błaszczykowski,VfL Wolfsburg,79,79

C. Théréau,Udinese,79,79

N. Lombaerts,Zenit St. Petersburg,79,79

G. Rossi,RC Celta de Vigo,79,79

V. Ibišević,Hertha BSC Berlin,79,79

Llorente,Swansea City,79,79

Agirretxe,Real Sociedad,79,79

Javi García,Zenit St. Petersburg,79,79

Trashorras,Rayo Vallecano,79,79

B. Gomis,Olympique de Marseille,79,79

M. Debuchy,Arsenal,79,79

I. Afellay,Stoke City,79,79

Manuel Fernandes,Lokomotiv Moscow,79,79

S. Dann,Crystal Palace,79,80

C. Dempsey,Seattle Sounders FC,79,79

M. Bradley,Toronto FC,79,79

Y. Gourcuff,Stade Rennais FC,79,79

Hilton,Montpellier Hérault SC,79,79

P. Batalla,Bursaspor,79,79

R. Palacio,Inter,79,79

A. Young,Manchester United,79,79

C. Jallet,Olympique Lyonnais,79,79

V. Berezutskiy,CSKA Moscow,79,79

I. Denisov,Lokomotiv Moscow,79,79

A. Samedov,Lokomotiv Moscow,79,79

Soldado,Villarreal CF,79,79

Javi Fuego,RCD Espanyol,79,79

O. Wendt,Borussia Mönchengladbach,79,79

G. Gönül,Beşiktaş JK,79,79

F. Belluschi,San Lorenzo de Almagro,79,79

R. Klavan,Liverpool,79,79

G. Ochoa,Granada CF,79,79

A. D'Alessandro,River Plate,79,79

J. Milner,Liverpool,79,79

Bruno Alves,Cagliari,79,79

R. Huth,Leicester City,79,79

Felipe Melo,Inter,79,79

M. Demichelis,RCD Espanyol,79,79

S. İnan,Galatasaray SK,79,79

A. Meier,Eintracht Frankfurt,79,79

K. Touré,Celtic,79,79

D. Benaglio,VfL Wolfsburg,79,79

